personId,billingYear,treatmentDate,treatmentCode,treatmentAmount
10143738,201901,201901,100703,672.64
73401992,201907,201907,100703,619.4
73018333,201812,201812,100703,620.17
72892796,201805,201805,100703,489.28
72980808,201805,201805,100703,482.43
72893833,201905,201905,100703,530.56
73206439,201805,201805,100503,3383
73206439,201901,201901,100703,677.43
73206439,201902,201902,100503,3383
72911714,201911,201911,100503,4884
72893833,201810,201810,100503,2864
73044820,201806,201806,100503,3954
10143738,201805,201805,100503,3482
73018333,201810,201810,100503,3076
73206439,201810,201810,100503,3383
73033817,201806,201806,100503,3053
74227902,201810,201810,100503,3334
73206439,201807,201807,100503,3383
73401992,201806,201806,100503,3251
73401992,201810,201810,100503,3251
73706774,201807,201807,100503,2934
73706774,201806,201806,100503,2934
72911714,201903,201903,100503,5285
74020397,201806,201806,100503,3021
74335730,201904,201904,100503,3464
72892796,201901,201901,100703,658.62
74227902,201806,201806,100503,3334
72955864,201807,201807,100503,3235
72893833,201807,201807,100503,2864
72905779,201904,201904,100503,3672
10143738,201807,201807,100503,3482
72892796,201911,201911,100503,3265
73706774,201810,201810,100503,2934
73401992,201904,201904,100503,3251
73074645,201809,201809,100703,660.95
74227902,201809,201809,100703,610.93
72911714,201904,201904,100503,5285
73073780,201809,201809,100703,661.08
74020397,201807,201807,100503,3021
73033817,201904,201904,100503,3053
73041860,201904,201904,100503,3054
72892796,202005,202005,100703,850.56
74227902,201904,201904,100503,3334
73706774,201811,201811,100703,577.06
10143738,201809,201809,100703,672.64
72893833,201911,201911,100503,2864
73044820,201905,201905,100503,3059
72893833,201808,201808,100503,2864
72911714,202005,202005,100503,4884
72892796,201808,201808,100503,3265
74227902,201807,201807,100703,457.8
73206439,201808,201808,100503,3383
73401992,201901,201901,100703,619.4
72893833,201805,201805,100703,384.34
73401992,201811,201811,100703,619.4
72892796,201910,201910,100703,850.56
72911714,202003,202003,100703,1126.14
74020397,201804,201804,100703,398.64
74020397,201811,201811,100703,563.95
74227902,201804,201804,100703,457.8
73079769,201805,201805,100703,392.27
